"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Sleep","","06-Nov-2020 15:58","06-Nov-2020 16:49",""
"Feeding","Right Breast","06-Nov-2020 15:44","06-Nov-2020 15:51",""
"Sleep","","06-Nov-2020 14:57","06-Nov-2020 15:38",""
"Sleep","","06-Nov-2020 14:47","06-Nov-2020 14:55",""
"Feeding","Left Breast","06-Nov-2020 14:37","06-Nov-2020 14:47",""
"Sleep","","06-Nov-2020 14:21","06-Nov-2020 14:33",""
"Sleep","","06-Nov-2020 14:13","06-Nov-2020 14:21",""
"Feeding","Right Breast","06-Nov-2020 13:57","06-Nov-2020 14:14",""
"Feeding","Left Breast","06-Nov-2020 13:32","06-Nov-2020 13:39",""
"Feeding","Right Breast","06-Nov-2020 12:17","06-Nov-2020 12:32",""
"Sleep","","06-Nov-2020 11:25","06-Nov-2020 12:06",""
"Feeding","Left Breast","06-Nov-2020 11:14","06-Nov-2020 11:24",""
"Feeding","Right Breast","06-Nov-2020 10:04","06-Nov-2020 10:10",""
"Sleep","","06-Nov-2020 09:05","06-Nov-2020 09:48",""
"Feeding","Left Breast","06-Nov-2020 08:01","06-Nov-2020 08:06",""
"Sleep","","06-Nov-2020 05:56","06-Nov-2020 07:51",""
"Feeding","Right Breast","06-Nov-2020 05:44","06-Nov-2020 05:56",""
"Sleep","","06-Nov-2020 03:24","06-Nov-2020 05:44",""
"Feeding","Left Breast","06-Nov-2020 03:20","06-Nov-2020 03:24",""
"Sleep","","06-Nov-2020 01:52","06-Nov-2020 03:19",""
"Feeding","Right Breast","06-Nov-2020 01:41","06-Nov-2020 01:48",""
"Sleep","","05-Nov-2020 23:45","06-Nov-2020 01:41",""
"Feeding","Left Breast","05-Nov-2020 23:32","05-Nov-2020 23:36",""
"Feeding","Right Breast","05-Nov-2020 22:53","05-Nov-2020 23:07",""
"Feeding","Left Breast","05-Nov-2020 21:44","05-Nov-2020 21:48",""
"Feeding","Right Breast","05-Nov-2020 21:15","05-Nov-2020 21:29",""
"Sleep","","05-Nov-2020 20:35","05-Nov-2020 21:13",""
"Feeding","Left Breast","05-Nov-2020 20:21","05-Nov-2020 20:35",""
"Feeding","Right Breast","05-Nov-2020 19:42","05-Nov-2020 19:49",""
"Feeding","Left Breast","05-Nov-2020 18:36","05-Nov-2020 18:42",""
"Sleep","","05-Nov-2020 17:39","05-Nov-2020 18:35",""
"Feeding","Right Breast","05-Nov-2020 17:27","05-Nov-2020 17:39",""
"Feeding","Left Breast","05-Nov-2020 16:49","05-Nov-2020 16:57",""
"Feeding","Right Breast","05-Nov-2020 15:55","05-Nov-2020 16:00",""
"Sleep","","05-Nov-2020 15:00","05-Nov-2020 15:31",""
"Feeding","Left Breast","05-Nov-2020 13:45","05-Nov-2020 13:49",""
"Sleep","","05-Nov-2020 12:50","05-Nov-2020 13:40",""
"Feeding","Right Breast","05-Nov-2020 12:35","05-Nov-2020 12:50",""
"Feeding","Right Breast","05-Nov-2020 12:00","05-Nov-2020 12:08",""
"Sleep","","05-Nov-2020 10:08","05-Nov-2020 11:41",""
"Feeding","Left Breast","05-Nov-2020 09:56","05-Nov-2020 10:08",""
"Feeding","Right Breast","05-Nov-2020 09:14","05-Nov-2020 09:20",""
"Feeding","Left Breast","05-Nov-2020 08:07","05-Nov-2020 08:13",""
"Sleep","","05-Nov-2020 05:20","05-Nov-2020 08:01",""
"Feeding","Right Breast","05-Nov-2020 05:09","05-Nov-2020 05:13",""
"Sleep","","05-Nov-2020 05:04","05-Nov-2020 05:09",""
"Feeding","Left Breast","05-Nov-2020 04:36","05-Nov-2020 04:47",""
"Sleep","","05-Nov-2020 01:17","05-Nov-2020 04:35",""
"Feeding","Left Breast","05-Nov-2020 01:14","05-Nov-2020 01:17",""
"Sleep","","05-Nov-2020 01:00","05-Nov-2020 01:13",""
"Feeding","Right Breast","05-Nov-2020 00:52","05-Nov-2020 00:58",""
"Sleep","","04-Nov-2020 23:05","05-Nov-2020 00:51",""
"Sleep","","04-Nov-2020 22:44","04-Nov-2020 23:05",""
"Feeding","Left Breast","04-Nov-2020 22:33","04-Nov-2020 22:44",""
"Sleep","","04-Nov-2020 21:47","04-Nov-2020 22:08",""
"Feeding","Right Breast","04-Nov-2020 21:35","04-Nov-2020 21:47",""
"Sleep","","04-Nov-2020 20:35","04-Nov-2020 21:34",""
"Feeding","Left Breast","04-Nov-2020 20:19","04-Nov-2020 20:25",""
"Feeding","Right Breast","04-Nov-2020 19:20","04-Nov-2020 19:31",""
"Feeding","Left Breast","04-Nov-2020 19:00","04-Nov-2020 19:06",""
"Feeding","Right Breast","04-Nov-2020 17:41","04-Nov-2020 17:46",""
"Sleep","","04-Nov-2020 16:30","04-Nov-2020 17:39",""
"Feeding","Left Breast","04-Nov-2020 16:17","04-Nov-2020 16:25",""
"Feeding","Right Breast","04-Nov-2020 15:12","04-Nov-2020 15:23",""
